ID; Date; Success; Distance; Fall Velocity; Pass Time
7; 2025-02-12 10:26:06; False; 2.06; 0.00; 1.50
7; 2025-02-12 10:26:06; False; 0.99; 0.00; 1.50
7; 2025-02-12 10:26:06; Reset Count;1;;
13; 2025-02-12 10:43:54; False; 0.19; 0.00; 1.50
13; 2025-02-12 10:43:54; False; 0.50; 0.00; 1.50
13; 2025-02-12 10:43:54; False; 0.46; 0.00; 1.50
13; 2025-02-12 10:43:54; False; 0.91; 0.00; 1.50
13; 2025-02-12 10:43:54; False; 0.14; 0.00; 1.50
13; 2025-02-12 10:43:54; False; 2.42; 0.00; 1.50
13; 2025-02-12 10:43:54; False; 1.06; 0.00; 1.50
13; 2025-02-12 10:43:54; False; 4.16; 0.00; 1.50
13; 2025-02-12 10:43:54; False; 0.95; 0.00; 1.50
13; 2025-02-12 10:43:54; False; 4.89; 0.00; 1.50
13; 2025-02-12 10:43:54; Reset Count;1;;
20; 2025-02-12 11:07:40; False; 2.26; 0.00; 1.50
20; 2025-02-12 11:07:40; False; 7.35; 0.00; 1.50
20; 2025-02-12 11:07:40; False; 3.03; 0.00; 1.50
20; 2025-02-12 11:07:40; Reset Count;14;;
