ID; Date; Success; RotationDegree; ThrowDegree; StrenghValue; Direction
20; 2025-03-05 10:35:36; False; 6.07; 55.44; 0.00; links
20; 2025-03-05 10:36:46; True; 0.04; 0.00; 0.00; links
20; 2025-03-05 10:36:46; True; 0.15; 122.58; 0.00; rechts
20; 2025-03-05 10:36:46; True; 0.00; 0.00; 0.00; rechts
20; 2025-03-05 10:36:47; True; 0.00; 0.00; 0.00; rechts
20; 2025-03-05 10:36:52; False; 6.43; 29.23; 0.00; links
20; 2025-03-05 10:36:56; False; 0.27; 40.58; 0.00; rechts
20; 2025-03-05 10:36:59; False; 9.35; 45.93; 0.00; rechts
20; 2025-03-05 10:37:01; True; 0.03; 0.00; 0.00; rechts
20; 2025-03-05 10:37:09; True; 0.05; 161.48; 0.00; links
20; 2025-03-05 10:37:14; False; 6.98; 32.74; 0.00; rechts
20; 2025-03-05 10:37:28; True; 0.02; 0.00; 0.00; rechts
20; 2025-03-05 10:37:29; True; 0.00; 0.00; 0.00; rechts
20; 2025-03-05 10:37:30; True; 0.00; 0.00; 0.00; rechts
20; 2025-03-05 10:37:31; True; 0.00; 0.00; 0.00; rechts
20; 2025-03-05 10:37:33; True; 0.00; 0.00; 0.00; rechts
20; 2025-03-05 10:37:35; True; 2.73; 21.55; 0.00; links
20; 2025-03-05 10:37:40; False; 13.92; 37.79; 0.00; rechts
20; 2025-03-05 10:37:41; True; 4.36; 160.18; 0.00; rechts
20; 2025-03-05 10:37:44; False; 15.26; 38.74; 0.00; rechts
20; 2025-03-05 10:37:49; False; 6.92; 22.44; 0.00; rechts
20; 2025-03-05 10:38:04; False; 13.19; 41.07; 0.00; rechts
20; 2025-03-05 10:38:13; False; 13.56; 42.12; 0.00; rechts
20; 2025-03-05 10:38:34; False; 10.46; 62.47; 0.00; rechts
