ID; Date; Success; Distance; Fall Velocity; Pass Time
5; 2025-02-12 10:21:57; False; 8,91; 0,00; 1,50
5; 2025-02-12 10:21:57; False; 4,34; 0,00; 1,50
5; 2025-02-12 10:21:57; True; 0,54; 0,00; 1,50
5; 2025-02-12 10:21:57; False; 1,95; 0,00; 1,50
5; 2025-02-12 10:21:57; Reset Count; 3
10; 2025-02-12 10:43:53; Reset Count; 1
18; 2025-02-12 11:02:59; False; 0,01; 0,00; 1,50
18; 2025-02-12 11:02:59; False; 1,21; 0,00; 1,50
18; 2025-02-12 11:02:59; Reset Count; 2
26; 2025-02-12 11:20:11; False; 3,49; 0,00; 1,50
26; 2025-02-12 11:20:11; False; 0,67; 0,00; 1,50
26; 2025-02-12 11:20:11; False; 0,32; 0,00; 1,50
26; 2025-02-12 11:20:11; True; 4,40; 0,00; 1,50
26; 2025-02-12 11:20:11; Reset Count; 26
