ID; Date; Success; RotationDegree; ThrowDegree; StrenghValue; Direction
39; 2025-02-20 18:34:27; False; 0.60; 103.64; 0.00; links
39; 2025-02-20 18:34:36; False; 11.76; 31.00; 0.00; links
39; 2025-02-20 18:34:36; True; 0.00; 0.00; 0.00; rechts
39; 2025-02-20 18:34:40; False; 354.11; 12.14; 0.00; links
39; 2025-02-20 18:34:45; False; 362.14; 13.32; 0.00; links
39; 2025-02-20 18:34:49; False; 4.60; 47.66; 0.00; links
39; 2025-02-20 18:34:53; False; 2.44; 45.08; 0.00; links
39; 2025-02-20 18:35:06; False; 1.65; 101.05; 0.00; rechts
39; 2025-02-20 18:35:17; False; 0.06; 15.97; 0.00; rechts
39; 2025-02-20 18:35:21; False; 27.06; 12.41; 0.00; rechts
39; 2025-02-20 18:35:25; False; 5.34; 18.23; 0.00; rechts
39; 2025-02-20 18:35:32; False; 4.73; 35.82; 0.00; links
39; 2025-02-20 18:35:35; False; 18.59; 8.72; 0.00; rechts
39; 2025-02-20 18:35:38; False; 13.81; 20.63; 0.00; rechts
39; 2025-02-20 18:35:41; False; 5.48; 8.11; 0.00; rechts
39; 2025-02-20 18:35:42; False; 2.26; 26.82; 0.00; rechts
39; 2025-02-20 18:35:46; False; 0.79; 9.39; 0.00; rechts
39; 2025-02-20 18:35:57; False; 8.47; 2.93; 0.00; links
39; 2025-02-20 18:36:02; False; 342.89; 10.16; 0.00; links
39; 2025-02-20 18:36:07; False; 346.19; 11.72; 0.00; links
39; 2025-02-20 18:36:11; False; 8.60; 12.62; 0.00; rechts
39; 2025-02-20 18:36:14; False; 3.54; 48.41; 0.00; links
39; 2025-02-20 18:36:20; False; 17.86; 14.23; 0.00; rechts
39; 2025-02-20 18:36:22; False; 10.68; 164.53; 0.00; links
39; 2025-02-20 18:36:26; False; 363.36; 17.00; 0.00; links
39; 2025-02-20 18:36:30; False; 387.45; 12.95; 0.00; rechts
39; 2025-02-20 18:36:36; False; 356.81; 3.62; 0.00; links
39; 2025-02-20 18:36:40; False; 33.74; 4.72; 0.00; rechts
39; 2025-02-20 18:36:41; False; 4.32; 97.05; 0.00; links
39; 2025-02-20 18:36:48; False; 5.49; 116.34; 0.00; rechts
39; 2025-02-20 18:37:08; False; 14.33; 17.78; 0.00; rechts
39; 2025-02-20 18:37:13; False; 4.61; 11.73; 0.00; links
39; 2025-02-20 18:37:15; False; 2.36; 22.06; 0.00; links
39; 2025-02-20 18:37:19; False; 66.09; 10.09; 0.00; links
