ID; Date; Success; RotationDegree; ThrowDegree; StrenghValue; Direction
30; 2025-02-13 08:22:28; False; 6.04; 75.33; 0.00; rechts
30; 2025-02-13 08:22:34; False; 38.69; 5.40; 0.00; rechts
30; 2025-02-13 08:22:39; False; 1.21; 72.38; 0.00; rechts
30; 2025-02-13 08:22:44; False; 4.62; 30.86; 0.00; rechts
30; 2025-02-13 08:22:51; False; 15.11; 21.70; 0.00; rechts
30; 2025-02-13 08:22:55; False; 34.52; 18.39; 0.00; rechts
30; 2025-02-13 08:23:11; False; 329.45; 15.37; 0.00; links
30; 2025-02-13 08:23:16; False; 12.60; 1.89; 0.00; rechts
30; 2025-02-13 08:23:18; True; 85.49; 8.90; 0.00; links
30; 2025-02-13 08:23:31; False; 2.22; 152.76; 0.00; links
30; 2025-02-13 08:23:39; False; 160.76; 9.57; 0.00; links
30; 2025-02-13 08:23:43; False; 136.34; 13.54; 0.00; links
30; 2025-02-13 08:23:49; False; 158.69; 7.56; 0.00; links
30; 2025-02-13 08:23:54; False; 166.38; 6.65; 0.00; links
30; 2025-02-13 08:24:01; False; 167.04; 4.76; 0.00; links
30; 2025-02-13 08:24:05; False; 126.21; 4.35; 0.00; links
30; 2025-02-13 08:24:10; False; 325.24; 13.51; 0.00; links
30; 2025-02-13 08:24:10; True; 0.21; 11.19; 0.00; rechts
30; 2025-02-13 08:24:24; False; 286.52; 9.18; 0.00; links
30; 2025-02-13 08:24:31; False; 346.12; 2.68; 0.00; links
30; 2025-02-13 08:24:33; True; 2.51; 79.43; 0.00; rechts
30; 2025-02-13 08:24:42; False; 335.71; 2.34; 0.00; links
30; 2025-02-13 08:24:48; False; 344.38; 14.55; 0.00; links
30; 2025-02-13 08:24:59; False; 173.57; 23.77; 0.00; links
30; 2025-02-13 08:25:07; False; 270.33; 1.99; 0.00; links
30; 2025-02-13 08:25:13; False; 340.27; 5.68; 0.00; links
30; 2025-02-13 08:25:17; False; 130.32; 7.16; 0.00; links
