ID,Date,Points,Source
21, 2025-02-12 11:04:10,3,Tischtennis.csv
21, 2025-02-12 11:04:10,4,Tischtennis.csv
21, 2025-02-12 11:04:10,2,Tischtennis.csv
18, 2025-02-12 11:11:11,1,Tischtennis.csv
18, 2025-02-12 11:11:11,4,Tischtennis.csv
18, 2025-02-12 11:11:11,1,Tischtennis.csv
18, 2025-02-12 11:11:11,2,Tischtennis.csv
18, 2025-02-12 11:11:11,6,Tischtennis.csv
18, 2025-02-12 11:11:11,2,Tischtennis.csv
27, 2025-02-12 11:13:46,2,Tischtennis.csv
27, 2025-02-12 11:13:46,2,Tischtennis.csv
8, 2025-02-12 19:05:07,1,Tischtennis.csv
8, 2025-02-12 19:05:07,2,Tischtennis.csv
2, 2025-02-12 19:05:07,1,Tischtennis.csv
8, 2025-02-12 19:05:07,2,Tischtennis.csv
8, 2025-02-12 19:05:07,1,Tischtennis.csv
8, 2025-02-12 19:05:07,3,Tischtennis.csv
4, 2025-02-12 19:09:04,1,Tischtennis.csv
4, 2025-02-12 19:09:04,1,Tischtennis.csv
4, 2025-02-12 19:09:04,3,Tischtennis.csv
4, 2025-02-12 19:09:04,3,Tischtennis.csv
4, 2025-02-12 19:09:04,4,Tischtennis.csv
4, 2025-02-12 19:09:04,2,Tischtennis.csv
4, 2025-02-12 19:09:04,1,Tischtennis.csv
4, 2025-02-12 19:09:04,2,Tischtennis.csv
4, 2025-02-12 19:09:04,4,Tischtennis.csv
4, 2025-02-12 19:09:04,4,Tischtennis.csv
4, 2025-02-12 19:09:04,2,Tischtennis.csv
4, 2025-02-12 19:09:04,1,Tischtennis.csv
4, 2025-02-12 19:09:04,1,Tischtennis.csv
9, 2025-02-12 19:25:25,1,Tischtennis.csv
9, 2025-02-12 19:25:25,2,Tischtennis.csv
9, 2025-02-12 19:25:25,1,Tischtennis.csv
16, 2025-02-12 19:35:27,2,Tischtennis.csv
16, 2025-02-12 19:35:27,1,Tischtennis.csv
16, 2025-02-12 19:35:27,1,Tischtennis.csv
16, 2025-02-12 19:35:27,1,Tischtennis.csv
16, 2025-02-12 19:35:27,1,Tischtennis.csv
16, 2025-02-12 19:35:27,4,Tischtennis.csv
16, 2025-02-12 19:35:27,1,Tischtennis.csv
16, 2025-02-12 19:35:27,2,Tischtennis.csv
16, 2025-02-12 19:35:27,4,Tischtennis.csv
16, 2025-02-12 19:35:27,2,Tischtennis.csv
16, 2025-02-12 19:35:27,2,Tischtennis.csv
16, 2025-02-12 19:35:27,1,Tischtennis.csv
16, 2025-02-12 19:35:27,2,Tischtennis.csv
16, 2025-02-12 19:35:27,1,Tischtennis.csv
16, 2025-02-12 19:35:27,4,Tischtennis.csv
16, 2025-02-12 19:35:27,1,Tischtennis.csv
16, 2025-02-12 19:35:27,1,Tischtennis.csv
16, 2025-02-12 19:35:27,2,Tischtennis.csv
16, 2025-02-12 19:35:27,5,Tischtennis.csv
16, 2025-02-12 19:35:27,2,Tischtennis.csv
16, 2025-02-12 19:35:27,2,Tischtennis.csv
16, 2025-02-12 19:35:27,1,Tischtennis.csv
16, 2025-02-12 19:35:27,3,Tischtennis.csv
15, 2025-02-12 19:47:37,1,Tischtennis.csv
15, 2025-02-12 19:47:37,3,Tischtennis.csv
15, 2025-02-12 19:47:37,3,Tischtennis.csv
15, 2025-02-12 19:47:37,2,Tischtennis.csv
15, 2025-02-12 19:47:37,4,Tischtennis.csv
15, 2025-02-12 19:47:37,2,Tischtennis.csv
25, 2025-02-12 20:00:58,1,Tischtennis.csv
28, 2025-02-12 20:03:24,3,Tischtennis.csv
28, 2025-02-12 20:03:24,2,Tischtennis.csv
28, 2025-02-12 20:03:24,1,Tischtennis.csv
28, 2025-02-12 20:03:24,1,Tischtennis.csv
28, 2025-02-12 20:03:24,1,Tischtennis.csv
28, 2025-02-12 20:03:24,2,Tischtennis.csv
28, 2025-02-12 20:03:24,1,Tischtennis.csv
28, 2025-02-12 20:03:24,2,Tischtennis.csv
28, 2025-02-12 20:03:24,2,Tischtennis.csv
