ID,TrialIndex,TrialInfo,Catch,Distance,Group
139,9,2,True,0.02,Kontrollgruppe
139,11,3,True,0.3,Kontrollgruppe
139,12,3,True,0.45,Kontrollgruppe
139,13,3,True,0.9,Kontrollgruppe
139,14,3,True,0.5,Kontrollgruppe
139,15,3,True,0.75,Kontrollgruppe
139,16,4,True,0.05,Kontrollgruppe
139,17,4,True,0.1,Kontrollgruppe
139,18,4,True,0.85,Kontrollgruppe
139,19,4,True,0.65,Kontrollgruppe
139,20,4,True,0.0,Kontrollgruppe
140,4,1,True,0.4,Kontrollgruppe
140,6,2,True,0.375,Kontrollgruppe
140,10,2,True,0.15,Kontrollgruppe
140,11,3,True,0.5,Kontrollgruppe
140,12,3,True,0.05,Kontrollgruppe
140,13,3,True,0.9,Kontrollgruppe
140,14,3,True,0.75,Kontrollgruppe
140,15,3,True,0.45,Kontrollgruppe
141,7,2,True,0.9,Kontrollgruppe
141,8,2,True,1.0,Kontrollgruppe
141,9,2,True,0.425,Kontrollgruppe
141,10,2,True,0.125,Kontrollgruppe
141,14,3,True,0.54,Kontrollgruppe
141,16,4,True,0.0,Kontrollgruppe
142,2,1,True,0.35,Kontrollgruppe
142,5,1,True,0.15,Kontrollgruppe
142,6,2,True,0.0,Kontrollgruppe
142,8,2,True,0.0,Kontrollgruppe
142,9,2,True,0.35,Kontrollgruppe
142,10,2,True,0.0,Kontrollgruppe
142,13,4,True,0.0,Kontrollgruppe
142,14,4,True,0.05,Kontrollgruppe
142,15,4,True,0.0,Kontrollgruppe
143,8,2,True,0.75,Kontrollgruppe
143,18,4,True,0.8,Kontrollgruppe
144,2,1,True,0.3,Kontrollgruppe
144,5,1,True,0.0,Kontrollgruppe
144,7,2,True,0.05,Kontrollgruppe
144,9,2,True,0.1,Kontrollgruppe
144,13,3,True,0.05,Kontrollgruppe
144,14,3,True,0.15,Kontrollgruppe
144,15,3,True,0.0,Kontrollgruppe
144,16,4,True,0.05,Kontrollgruppe
144,17,4,True,0.0,Kontrollgruppe
144,18,4,True,0.1,Kontrollgruppe
144,19,4,True,0.075,Kontrollgruppe
144,20,4,True,0.025,Kontrollgruppe
145,3,1,True,0.225,Kontrollgruppe
145,4,1,True,0.05,Kontrollgruppe
145,7,2,True,0.175,Kontrollgruppe
145,9,2,True,0.02,Kontrollgruppe
145,10,2,True,0.055,Kontrollgruppe
145,11,4,True,0.075,Kontrollgruppe
145,14,4,True,0.15,Kontrollgruppe
145,15,4,True,0.1,Kontrollgruppe
147,5,1,True,0.05,Kontrollgruppe
147,6,2,True,0.2,Kontrollgruppe
147,9,2,True,0.25,Kontrollgruppe
147,12,3,True,0.275,Kontrollgruppe
147,13,3,True,0.2,Kontrollgruppe
147,14,3,True,0.7,Kontrollgruppe
148,4,1,True,0.025,Kontrollgruppe
148,7,2,True,0.25,Kontrollgruppe
148,18,4,True,0.4,Kontrollgruppe
148,19,4,True,0.01,Kontrollgruppe
149,1,4,True,0.35,Kontrollgruppe
149,3,4,True,0.05,Kontrollgruppe
149,4,4,True,0.175,Kontrollgruppe
149,5,4,True,0.05,Kontrollgruppe
150,12,4,True,0.15,Kontrollgruppe
150,15,4,True,0.05,Kontrollgruppe
151,2,2,True,0.8,Kontrollgruppe
151,3,2,True,0.7,Kontrollgruppe
151,4,2,True,0.075,Kontrollgruppe
151,5,2,True,0.25,Kontrollgruppe
151,6,3,True,0.4,Kontrollgruppe
151,8,3,True,0.7,Kontrollgruppe
151,10,3,True,0.75,Kontrollgruppe
151,11,4,True,0.1,Kontrollgruppe
151,12,4,True,0.03,Kontrollgruppe
151,13,4,True,0.15,Kontrollgruppe
151,15,4,True,0.65,Kontrollgruppe
61,2,1,True,0.0,RL 7e
61,3,1,True,0.14925373134328357,RL 7e
61,4,1,True,0.0,RL 7e
61,5,1,True,0.39800995024875624,RL 7e
61,6,2,True,0.0,RL 7e
61,9,2,True,0.0,RL 7e
61,10,2,True,0.0,RL 7e
61,11,3,True,0.04975124378109453,RL 7e
61,13,3,True,0.0,RL 7e
61,14,3,True,0.024875621890547265,RL 7e
61,15,3,True,0.22388059701492538,RL 7e
61,17,4,True,0.04975124378109453,RL 7e
61,18,4,True,0.14925373134328357,RL 7e
61,19,4,True,0.07462686567164178,RL 7e
61,20,4,True,0.09950248756218906,RL 7e
62,1,1,True,0.05970149253731343,RL 7e
62,2,1,True,0.01990049751243781,RL 7e
62,4,1,True,0.05970149253731343,RL 7e
62,5,1,True,0.09950248756218906,RL 7e
62,6,2,True,0.04975124378109453,RL 7e
62,7,2,True,0.0,RL 7e
62,8,2,True,0.09950248756218906,RL 7e
62,9,2,True,0.04975124378109453,RL 7e
62,10,2,True,0.0,RL 7e
62,11,3,True,0.04975124378109453,RL 7e
62,12,3,True,0.09950248756218906,RL 7e
62,13,3,True,0.0,RL 7e
62,14,3,True,0.04975124378109453,RL 7e
62,15,3,True,0.0,RL 7e
62,16,4,True,0.0,RL 7e
62,17,4,True,0.04975124378109453,RL 7e
62,18,4,True,0.0,RL 7e
62,19,4,True,0.0,RL 7e
62,20,4,True,0.01990049751243781,RL 7e
63,3,1,True,0.0,RL 7e
63,5,1,True,0.0,RL 7e
63,6,2,True,0.29850746268656714,RL 7e
63,8,2,True,0.04975124378109453,RL 7e
63,10,2,True,0.0,RL 7e
63,11,3,True,0.14925373134328357,RL 7e
63,13,3,True,0.0,RL 7e
63,15,3,True,0.4975124378109453,RL 7e
63,16,4,True,0.0,RL 7e
63,17,4,True,0.0,RL 7e
63,18,4,True,0.3034825870646766,RL 7e
63,20,4,True,0.0,RL 7e
64,3,1,True,0.0,RL 7e
