ID,Date,Points,Source
9, 2025-02-12 19:28:25,1,TischtennisSeite.csv
9, 2025-02-12 19:28:25,1,TischtennisSeite.csv
9, 2025-02-12 19:28:25,1,TischtennisSeite.csv
9, 2025-02-12 19:28:25,1,TischtennisSeite.csv
9, 2025-02-12 19:28:25,1,TischtennisSeite.csv
9, 2025-02-12 19:28:25,1,TischtennisSeite.csv
9, 2025-02-12 19:28:25,1,TischtennisSeite.csv
9, 2025-02-12 19:28:25,2,TischtennisSeite.csv
9, 2025-02-12 19:28:25,1,TischtennisSeite.csv
9, 2025-02-12 19:28:25,1,TischtennisSeite.csv
9, 2025-02-12 19:28:25,1,TischtennisSeite.csv
16, 2025-02-12 19:38:27,1,TischtennisSeite.csv
16, 2025-02-12 19:38:27,1,TischtennisSeite.csv
16, 2025-02-12 19:38:27,1,TischtennisSeite.csv
16, 2025-02-12 19:38:27,1,TischtennisSeite.csv
16, 2025-02-12 19:38:27,1,TischtennisSeite.csv
16, 2025-02-12 19:38:27,1,TischtennisSeite.csv
16, 2025-02-12 19:38:27,1,TischtennisSeite.csv
16, 2025-02-12 19:38:27,1,TischtennisSeite.csv
16, 2025-02-12 19:38:27,1,TischtennisSeite.csv
16, 2025-02-12 19:38:27,1,TischtennisSeite.csv
16, 2025-02-12 19:38:27,1,TischtennisSeite.csv
16, 2025-02-12 19:38:27,1,TischtennisSeite.csv
16, 2025-02-12 19:38:27,2,TischtennisSeite.csv
16, 2025-02-12 19:38:27,1,TischtennisSeite.csv
16, 2025-02-12 19:38:27,1,TischtennisSeite.csv
16, 2025-02-12 19:38:27,1,TischtennisSeite.csv
16, 2025-02-12 19:38:27,2,TischtennisSeite.csv
16, 2025-02-12 19:38:27,1,TischtennisSeite.csv
16, 2025-02-12 19:38:27,1,TischtennisSeite.csv
16, 2025-02-12 19:38:27,1,TischtennisSeite.csv
16, 2025-02-12 19:38:27,1,TischtennisSeite.csv
25, 2025-02-12 20:03:58,1,TischtennisSeite.csv
