ID,Date,Success,RotationDegree,ThrowDegree,StrenghValue,Direction,Source
5, 2025-02-12 10:18:57, True," 1,60"," 93,19"," 0,00", rechts,DrehenFangen.csv
5, 2025-02-12 10:18:57, True," 0,62"," 158,59"," 0,00", rechts,DrehenFangen.csv
5, 2025-02-12 10:18:57, False," 30,68"," 42,94"," 0,00", links,DrehenFangen.csv
5, 2025-02-12 10:18:57, False," 23,07"," 34,03"," 0,00", rechts,DrehenFangen.csv
5, 2025-02-12 10:18:57, False," 163,48"," 25,19"," 0,00", rechts,DrehenFangen.csv
5, 2025-02-12 10:18:57, False," 330,63"," 10,59"," 0,00", rechts,DrehenFangen.csv
5, 2025-02-12 10:18:57, True," 0,00"," 0,00"," 0,00", rechts,DrehenFangen.csv
5, 2025-02-12 10:18:57, False," 319,58"," 12,62"," 0,00", rechts,DrehenFangen.csv
5, 2025-02-12 10:18:57, False," 275,54"," 2,76"," 0,00", rechts,DrehenFangen.csv
5, 2025-02-12 10:18:57, False," 257,75"," 9,62"," 0,00", rechts,DrehenFangen.csv
5, 2025-02-12 10:18:57, True," 2,92"," 8,37"," 0,00", rechts,DrehenFangen.csv
5, 2025-02-12 10:18:57, False," 1,86"," 161,95"," 0,00", links,DrehenFangen.csv
5, 2025-02-12 10:18:57, True," 0,58"," 99,52"," 0,00", rechts,DrehenFangen.csv
5, 2025-02-12 10:18:57, True," 0,00"," 0,00"," 0,00", rechts,DrehenFangen.csv
5, 2025-02-12 10:18:57, True," 0,26"," 137,83"," 0,00", rechts,DrehenFangen.csv
5, 2025-02-12 10:18:57, True," 1,08"," 135,32"," 0,00", rechts,DrehenFangen.csv
5, 2025-02-12 10:18:57, True," 0,00"," 0,00"," 0,00", rechts,DrehenFangen.csv
5, 2025-02-12 10:18:57, True," 0,77"," 154,34"," 0,00", rechts,DrehenFangen.csv
5, 2025-02-12 10:18:57, True," 1,02"," 132,19"," 0,00", rechts,DrehenFangen.csv
5, 2025-02-12 10:18:57, True," 0,00"," 0,00"," 0,00", rechts,DrehenFangen.csv
5, 2025-02-12 10:18:57, True," 0,84"," 146,23"," 0,00", rechts,DrehenFangen.csv
5, 2025-02-12 10:18:57, True," 0,65"," 144,88"," 0,00", rechts,DrehenFangen.csv
5, 2025-02-12 10:18:57, True," 0,00"," 0,00"," 0,00", rechts,DrehenFangen.csv
5, 2025-02-12 10:18:57, True," 0,10"," 156,35"," 0,00", rechts,DrehenFangen.csv
5, 2025-02-12 10:18:57, True," 0,00"," 0,00"," 0,00", rechts,DrehenFangen.csv
5, 2025-02-12 10:18:57, True," 0,00"," 0,00"," 0,00", rechts,DrehenFangen.csv
5, 2025-02-12 10:18:57, True," 0,00"," 0,00"," 0,00", rechts,DrehenFangen.csv
5, 2025-02-12 10:18:57, True," 0,87"," 145,54"," 0,00", rechts,DrehenFangen.csv
5, 2025-02-12 10:18:57, True," 0,00"," 0,00"," 0,00", rechts,DrehenFangen.csv
5, 2025-02-12 10:18:57, True," 0,94"," 160,25"," 0,00", rechts,DrehenFangen.csv
5, 2025-02-12 10:18:57, True," 5,09"," 150,96"," 0,00", rechts,DrehenFangen.csv
5, 2025-02-12 10:18:57, True," 0,55"," 149,89"," 0,00", rechts,DrehenFangen.csv
5, 2025-02-12 10:18:57, True," 0,00"," 0,00"," 0,00", rechts,DrehenFangen.csv
5, 2025-02-12 10:18:57, True," 0,95"," 100,55"," 0,00", rechts,DrehenFangen.csv
5, 2025-02-12 10:18:57, True," 0,00"," 0,00"," 0,00", rechts,DrehenFangen.csv
5, 2025-02-12 10:18:57, True," 0,57"," 39,99"," 0,00", rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.0,0.0,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,1.04,145.08,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.0,158.39,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.0,171.37,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.34,143.73,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.0,0.0,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.06,135.49,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,2.86,132.8,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.0,0.0,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.0,0.0,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.0,0.0,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.0,0.0,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, False,0.76,70.7,0.0, links,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.23,146.24,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.75,140.78,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.0,0.0,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.0,0.0,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.0,0.0,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,262.67,1.14,0.0, links,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.0,0.0,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.0,0.0,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.31,139.23,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.0,0.0,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.19,138.69,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.0,0.0,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, False,10.45,36.16,0.0, links,DrehenFangen.csv
6, 2025-02-12 10:20:36, False,159.52,8.12,0.0, links,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,38.31,0.88,0.0, links,DrehenFangen.csv
6, 2025-02-12 10:20:36, False,396.0,3.52,0.0, links,DrehenFangen.csv
6, 2025-02-12 10:20:36, False,11.42,6.91,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, False,5.46,18.85,0.0, links,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,178.15,1.99,0.0, links,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.0,0.0,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.0,0.0,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, False,324.28,3.25,0.0, links,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.0,0.0,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, False,371.03,6.07,0.0, links,DrehenFangen.csv
6, 2025-02-12 10:20:36, False,345.23,6.43,0.0, links,DrehenFangen.csv
6, 2025-02-12 10:20:36, False,352.34,5.47,0.0, links,DrehenFangen.csv
6, 2025-02-12 10:20:36, False,347.65,20.55,0.0, links,DrehenFangen.csv
6, 2025-02-12 10:20:36, False,4.92,15.01,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, False,342.42,4.78,0.0, links,DrehenFangen.csv
6, 2025-02-12 10:20:36, False,401.76,4.44,0.0, links,DrehenFangen.csv
6, 2025-02-12 10:20:36, False,5.64,28.79,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.0,0.0,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, False,8.76,34.07,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, False,375.44,7.2,0.0, links,DrehenFangen.csv
6, 2025-02-12 10:20:36, False,362.5,11.13,0.0, links,DrehenFangen.csv
6, 2025-02-12 10:20:36, False,304.52,2.79,0.0, links,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,17.73,5.95,0.0, links,DrehenFangen.csv
6, 2025-02-12 10:20:36, False,0.05,151.78,0.0, links,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,48.17,6.23,0.0, links,DrehenFangen.csv
6, 2025-02-12 10:20:36, False,1.78,12.62,0.0, links,DrehenFangen.csv
6, 2025-02-12 10:20:36, False,255.87,3.88,0.0, links,DrehenFangen.csv
6, 2025-02-12 10:20:36, False,1.61,110.52,0.0, links,DrehenFangen.csv
6, 2025-02-12 10:20:36, False,348.5,14.0,0.0, links,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,2.51,124.04,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,1.68,29.75,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, False,0.47,13.98,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, False,351.01,11.76,0.0, links,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,247.16,3.08,0.0, links,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.0,0.0,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.0,0.0,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.0,0.0,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.0,0.0,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.01,156.11,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.0,0.0,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.27,141.97,0.0, links,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.0,0.0,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.01,158.48,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.0,0.0,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.54,133.44,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.0,0.0,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.09,48.01,0.0, rechts,DrehenFangen.csv
6, 2025-02-12 10:20:36, True,0.25,169.8,0.0, rechts,DrehenFangen.csv
