ID; Date; Success; RotationDegree; ThrowDegree; StrenghValue; Direction
14; 2025-02-26 10:28:28; False; 70.81; 4.97; 0.00; links
14; 2025-02-26 10:28:32; False; 34.70; 13.07; 0.00; links
14; 2025-02-26 10:28:51; False; 42.83; 0.62; 0.00; rechts
14; 2025-02-26 10:28:59; False; 5.41; 32.40; 0.00; links
14; 2025-02-26 10:29:06; False; 117.79; 3.72; 0.00; links
14; 2025-02-26 10:29:15; False; 45.08; 9.22; 0.00; links
14; 2025-02-26 10:29:24; False; 66.58; 6.74; 0.00; links
14; 2025-02-26 10:29:27; False; 123.04; 13.64; 0.00; links
14; 2025-02-26 10:29:34; True; 0.00; 0.00; 0.00; rechts
14; 2025-02-26 10:29:41; False; 63.09; 28.00; 0.00; links
14; 2025-02-26 10:29:49; False; 21.91; 8.07; 0.00; links
14; 2025-02-26 10:30:04; False; 5.50; 33.19; 0.00; rechts
14; 2025-02-26 10:30:12; False; 12.77; 6.81; 0.00; links
14; 2025-02-26 10:30:16; False; 14.96; 18.38; 0.00; links
14; 2025-02-26 10:30:19; False; 13.58; 10.11; 0.00; rechts
14; 2025-02-26 10:30:21; False; 4.91; 3.78; 0.00; links
14; 2025-02-26 10:30:40; False; 109.08; 13.07; 0.00; links
14; 2025-02-26 10:30:54; False; 10.17; 31.08; 0.00; links
