ID; Date; Success; RotationDegree; ThrowDegree; StrenghValue; Direction
22; 2025-02-26 10:42:57; True; 347.83; 2.27; 0.00; rechts
22; 2025-02-26 10:43:02; False; 317.94; 10.34; 0.00; rechts
22; 2025-02-26 10:43:06; False; 307.34; 3.29; 0.00; rechts
22; 2025-02-26 10:43:12; False; 353.10; 2.30; 0.00; rechts
22; 2025-02-26 10:43:15; True; 253.01; 3.89; 0.00; rechts
22; 2025-02-26 10:43:20; False; 18.03; 9.10; 0.00; links
22; 2025-02-26 10:43:24; False; 160.77; 9.13; 0.00; links
22; 2025-02-26 10:43:25; True; 1.67; 148.25; 0.00; rechts
22; 2025-02-26 10:43:31; True; 169.08; 6.09; 0.00; rechts
22; 2025-02-26 10:43:35; False; 305.85; 1.74; 0.00; rechts
22; 2025-02-26 10:43:51; False; 19.87; 6.69; 0.00; links
22; 2025-02-26 10:43:54; False; 207.51; 4.25; 0.00; rechts
22; 2025-02-26 10:44:04; False; 10.55; 53.94; 0.00; rechts
22; 2025-02-26 10:44:10; False; 198.18; 13.31; 0.00; rechts
22; 2025-02-26 10:44:16; False; 322.02; 1.74; 0.00; rechts
22; 2025-02-26 10:44:23; False; 176.92; 17.54; 0.00; rechts
22; 2025-02-26 10:44:28; False; 343.02; 5.82; 0.00; rechts
22; 2025-02-26 10:44:31; False; 22.68; 5.71; 0.00; links
22; 2025-02-26 10:44:34; True; 188.12; 6.50; 0.00; rechts
22; 2025-02-26 10:44:39; False; 40.24; 2.51; 0.00; rechts
22; 2025-02-26 10:44:50; False; 172.03; 15.44; 0.00; rechts
22; 2025-02-26 10:44:54; False; 193.36; 14.19; 0.00; rechts
22; 2025-02-26 10:44:58; False; 6.41; 1.74; 0.00; links
22; 2025-02-26 10:45:04; False; 16.68; 3.10; 0.00; rechts
22; 2025-02-26 10:45:07; False; 138.99; 15.72; 0.00; rechts
22; 2025-02-26 10:45:12; False; 165.67; 7.04; 0.00; rechts
22; 2025-02-26 10:45:16; True; 18.06; 2.37; 0.00; rechts
22; 2025-02-26 10:45:25; False; 28.11; 12.38; 0.00; links
22; 2025-02-26 10:45:29; False; 172.73; 8.26; 0.00; links
22; 2025-02-26 10:45:36; False; 19.56; 9.29; 0.00; rechts
