ID; Date; Success; Distance; Fall Velocity; Pass Time
2; 2025-02-12 19:14:07; False; 1.90; 0.00; 1.50
2; 2025-02-12 19:14:07; False; 0.71; 0.00; 1.50
2; 2025-02-12 19:14:07; False; 0.15; 0.00; 1.50
2; 2025-02-12 19:14:07; False; 2.40; 0.00; 1.50
2; 2025-02-12 19:14:07; False; 0.58; 0.00; 1.50
2; 2025-02-12 19:14:07; False; 0.93; 0.00; 1.50
2; 2025-02-12 19:14:07; False; 0.58; 0.00; 1.50
2; 2025-02-12 19:14:07; False; 0.29; 0.00; 1.50
2; 2025-02-12 19:14:07; False; 6.47; 0.00; 1.50
2; 2025-02-12 19:14:07; False; 0.18; 0.00; 1.50
2; 2025-02-12 19:14:07; False; 0.76; 0.00; 1.50
2; 2025-02-12 19:14:07; False; 0.23; 0.00; 1.50
2; 2025-02-12 19:14:07; False; 0.23; 0.00; 1.50
2; 2025-02-12 19:14:07; Reset Count;5;;
8; 2025-02-12 19:28:58; False; 2.44; 0.00; 1.50
8; 2025-02-12 19:28:58; False; 1.73; 0.00; 1.50
8; 2025-02-12 19:28:58; False; 1.67; 0.00; 1.50
8; 2025-02-12 19:28:58; False; 0.48; 0.00; 1.50
8; 2025-02-12 19:28:58; False; 2.74; 0.00; 1.50
8; 2025-02-12 19:28:58; True; 0.48; 0.00; 1.50
8; 2025-02-12 19:28:58; False; 1.04; 0.00; 1.50
8; 2025-02-12 19:28:58; Reset Count;9;;
16; 2025-02-12 19:44:27; False; 1.24; 0.00; 1.50
16; 2025-02-12 19:44:27; False; 1.24; 0.00; 1.50
16; 2025-02-12 19:44:27; False; 0.72; 0.00; 1.50
16; 2025-02-12 19:44:27; False; 1.10; 0.00; 1.50
16; 2025-02-12 19:44:27; True; 0.80; 0.00; 1.50
16; 2025-02-12 19:44:27; False; 0.82; 0.00; 1.50
16; 2025-02-12 19:44:27; False; 0.54; 0.00; 1.50
16; 2025-02-12 19:44:27; Reset Count;22;;
28; 2025-02-12 20:12:24; False; 0.13; 0.00; 1.50
28; 2025-02-12 20:12:24; False; 0.11; 0.00; 1.50
28; 2025-02-12 20:12:24; False; 1.53; 0.00; 1.50
28; 2025-02-12 20:12:24; False; 0.08; 0.00; 1.50
28; 2025-02-12 20:12:24; False; 0.29; 0.00; 1.50
28; 2025-02-12 20:12:24; False; 0.63; 0.00; 1.50
28; 2025-02-12 20:12:24; False; 0.64; 0.00; 1.50
28; 2025-02-12 20:12:24; False; 0.33; 0.00; 1.50
28; 2025-02-12 20:12:24; Reset Count;18;;
