ID; Date; Success; RotationDegree; ThrowDegree; StrenghValue; Direction
11; 2025-02-19 10:23:22; False; 12.17; 3.35; 0.00; rechts
11; 2025-02-19 10:23:29; False; 11.76; 12.74; 0.00; links
11; 2025-02-19 10:23:34; False; 2.39; 18.16; 0.00; links
11; 2025-02-19 10:23:38; False; 4.15; 24.24; 0.00; links
11; 2025-02-19 10:23:42; False; 10.07; 9.99; 0.00; links
11; 2025-02-19 10:23:48; False; 3.30; 11.25; 0.00; links
11; 2025-02-19 10:23:54; False; 18.75; 24.51; 0.00; links
11; 2025-02-19 10:23:58; False; 1.29; 52.23; 0.00; rechts
11; 2025-02-19 10:24:14; False; 4.31; 36.65; 0.00; links
11; 2025-02-19 10:24:18; False; 5.38; 11.10; 0.00; links
11; 2025-02-19 10:24:24; False; 1.66; 25.44; 0.00; links
11; 2025-02-19 10:24:31; False; 6.05; 15.61; 0.00; links
11; 2025-02-19 10:24:34; False; 19.48; 12.02; 0.00; links
11; 2025-02-19 10:24:38; False; 51.79; 4.24; 0.00; links
11; 2025-02-19 10:24:46; False; 90.57; 3.11; 0.00; links
11; 2025-02-19 10:24:52; False; 8.54; 26.48; 0.00; links
11; 2025-02-19 10:24:57; False; 1.84; 38.62; 0.00; links
11; 2025-02-19 10:25:03; False; 0.96; 27.49; 0.00; rechts
11; 2025-02-19 10:25:28; False; 0.49; 17.03; 0.00; links
11; 2025-02-19 10:25:32; False; 98.97; 11.37; 0.00; links
11; 2025-02-19 10:26:03; False; 9.73; 58.87; 0.00; rechts
