ID; Date; Success; RotationDegree; ThrowDegree; StrenghValue; Direction
52; 2025-02-27 08:51:47; False; 48.04; 9.07; 0.00; rechts
52; 2025-02-27 08:51:50; False; 34.85; 86.02; 0.00; rechts
52; 2025-02-27 08:51:53; False; 35.91; 72.59; 0.00; rechts
52; 2025-02-27 08:51:55; True; 0.69; 28.23; 0.00; rechts
52; 2025-02-27 08:51:57; False; 11.79; 32.08; 0.00; links
52; 2025-02-27 08:52:02; True; 78.74; 4.07; 0.00; rechts
52; 2025-02-27 08:52:02; True; 0.00; 0.00; 0.00; rechts
52; 2025-02-27 08:52:05; False; 119.25; 19.67; 0.00; rechts
52; 2025-02-27 08:52:09; True; 38.74; 8.54; 0.00; rechts
52; 2025-02-27 08:52:12; False; 108.80; 24.17; 0.00; rechts
52; 2025-02-27 08:52:21; False; 95.75; 8.24; 0.00; rechts
52; 2025-02-27 08:53:16; False; 14.79; 162.40; 0.00; rechts
52; 2025-02-27 08:53:20; True; 132.31; 9.98; 0.00; rechts
52; 2025-02-27 08:53:21; True; 0.00; 0.00; 0.00; rechts
52; 2025-02-27 08:53:21; True; 1.12; 0.00; 0.00; rechts
52; 2025-02-27 08:53:21; False; 4.87; 166.78; 0.00; rechts
52; 2025-02-27 08:53:25; False; 19.12; 7.87; 0.00; links
52; 2025-02-27 08:53:30; False; 13.07; 143.58; 0.00; rechts
52; 2025-02-27 08:53:32; False; 53.93; 111.39; 0.00; rechts
52; 2025-02-27 08:53:35; False; 162.42; 18.32; 0.00; rechts
52; 2025-02-27 08:53:48; False; 127.81; 8.38; 0.00; rechts
52; 2025-02-27 08:53:56; False; 98.81; 5.91; 0.00; rechts
52; 2025-02-27 08:54:00; False; 178.55; 18.15; 0.00; rechts
52; 2025-02-27 08:54:04; False; 157.54; 17.62; 0.00; rechts
52; 2025-02-27 08:54:17; True; 0.00; 0.00; 0.00; rechts
52; 2025-02-27 08:54:19; False; 41.87; 8.74; 0.00; links
52; 2025-02-27 08:54:27; True; 0.00; 0.00; 0.00; rechts
52; 2025-02-27 08:54:30; False; 133.06; 28.44; 0.00; rechts
52; 2025-02-27 08:54:33; True; 29.99; 6.63; 0.00; rechts
52; 2025-02-27 08:54:36; False; 155.78; 21.41; 0.00; rechts
52; 2025-02-27 08:54:43; False; 15.10; 164.88; 0.00; links
