ID; Date; Success; Distance; Fall Velocity; Pass Time
6; 2025-03-05 10:05:55; True; 0,17; 0,00; 1,50
6; 2025-03-05 10:06:15; True; 1,99; 0,00; 1,50
6; 2025-03-05 10:06:44; False; 0,97; 0,00; 1,50
6; 2025-03-05 10:07:07; True; 0,88; 0,00; 1,50
6; 2025-03-05 10:07:16; True; 3,86; 0,00; 1,50
6; 2025-03-05 10:07:21; False; 1,67; 0,00; 1,50
6; 2025-03-05 10:07:42; True; 0,01; 0,00; 1,50
6; 2025-03-05 10:07:48; True; 2,34; 0,00; 1,50
6; 2025-03-05 10:07:55; True; 1,33; 0,00; 1,50
6; 2025-03-05 10:08:01; True; 3,88; 0,00; 1,50
6; 2025-03-05 10:08:07; True; 2,68; 0,00; 1,50
6; 2025-03-05 10:08:13; True; 0,45; 0,00; 1,50
6; 2025-03-05 10:08:31; True; 1,34; 0,00; 1,50
6; 2025-03-05 10:08:37; False; 0,48; 0,00; 1,50
6; 2025-03-05 10:08:45; True; 1,19; 0,00; 1,50
6; - ;Reset Count; 6
