ID; Date; Success; RotationDegree; ThrowDegree; StrenghValue; Direction
24; 2025-02-12 11:21:12; False; 156.50; 11.43; 0.00; rechts
24; 2025-02-12 11:21:12; False; 41.89; 5.25; 0.00; rechts
24; 2025-02-12 11:21:12; False; 12.71; 1.53; 0.00; links
24; 2025-02-12 11:21:12; False; 39.63; 8.50; 0.00; rechts
24; 2025-02-12 11:21:12; False; 34.99; 4.89; 0.00; rechts
24; 2025-02-12 11:21:12; False; 24.11; 22.98; 0.00; rechts
24; 2025-02-12 11:21:12; True; 0.25; 137.03; 0.00; links
24; 2025-02-12 11:21:12; False; 12.34; 19.16; 0.00; rechts
24; 2025-02-12 11:21:12; False; 49.36; 11.39; 0.00; rechts
24; 2025-02-12 11:21:12; False; 44.33; 3.67; 0.00; rechts
24; 2025-02-12 11:21:12; False; 150.09; 16.16; 0.00; rechts
24; 2025-02-12 11:21:12; False; 125.66; 9.89; 0.00; rechts
24; 2025-02-12 11:21:12; False; 76.61; 18.92; 0.00; rechts
24; 2025-02-12 11:21:12; False; 32.85; 3.67; 0.00; rechts
24; 2025-02-12 11:21:12; False; 35.57; 19.92; 0.00; rechts
24; 2025-02-12 11:21:12; False; 67.24; 2.52; 0.00; rechts
24; 2025-02-12 11:21:12; False; 117.21; 27.30; 0.00; rechts
24; 2025-02-12 11:21:12; False; 151.35; 25.75; 0.00; rechts
24; 2025-02-12 11:21:12; False; 4.22; 0.96; 0.00; links
24; 2025-02-12 11:21:12; False; 73.03; 7.60; 0.00; rechts
24; 2025-02-12 11:21:12; False; 33.59; 20.76; 0.00; rechts
