ID; Date; Success; Distance; Fall Velocity; Pass Time
6; 2025-02-26 10:10:41; False; 0,90; 0,00; 1,50
6; 2025-02-26 10:10:57; True; 1,44; 0,00; 1,50
6; 2025-02-26 10:11:04; True; 0,69; 0,00; 1,50
6; 2025-02-26 10:11:10; True; 6,00; 0,00; 1,50
6; 2025-02-26 10:11:19; True; 0,75; 0,00; 1,50
6; 2025-02-26 10:11:25; True; 9,03; 0,00; 1,50
6; 2025-02-26 10:11:41; True; 0,75; 0,00; 1,50
6; 2025-02-26 10:11:47; True; 8,09; 0,00; 1,50
6; 2025-02-26 10:11:52; True; 3,43; 0,00; 1,50
6; 2025-02-26 10:11:58; False; 3,18; 0,00; 1,50
6; 2025-02-26 10:12:07; True; 0,63; 0,00; 1,50
6; 2025-02-26 10:12:13; True; 0,94; 0,00; 1,50
6; 2025-02-26 10:12:20; True; 2,04; 0,00; 1,50
6; 2025-02-26 10:13:09; False; 8,92; 0,00; 1,50
6; - ;Reset Count; 5
