ID; Date; Success; RotationDegree; ThrowDegree; StrenghValue; Direction
29; 2025-02-20 08:21:14; False; 0.85; 172.19; 0.00; rechts
29; 2025-02-20 08:21:19; True; 0.47; 155.81; 0.00; rechts
29; 2025-02-20 08:21:20; False; 0.19; 140.27; 0.00; rechts
29; 2025-02-20 08:21:24; False; 11.29; 13.58; 0.00; rechts
29; 2025-02-20 08:21:37; False; 0.88; 167.92; 0.00; rechts
29; 2025-02-20 08:21:45; False; 1.11; 156.39; 0.00; links
29; 2025-02-20 08:21:55; False; 155.09; 36.06; 0.00; links
29; 2025-02-20 08:22:27; True; 0.00; 0.00; 0.00; rechts
29; 2025-02-20 08:22:29; False; 22.72; 143.54; 0.00; links
29; 2025-02-20 08:22:33; False; 5.47; 38.91; 0.00; links
29; 2025-02-20 08:22:45; False; 61.56; 121.06; 0.00; links
29; 2025-02-20 08:22:50; False; 289.14; 42.37; 0.00; links
