ID; Date; Success; RotationDegree; ThrowDegree; StrenghValue; Direction
49; 2025-02-20 09:03:47; False; 2.23; 149.26; 0.00; links
49; 2025-02-20 09:03:51; False; 200.31; 4.21; 0.00; links
49; 2025-02-20 09:03:56; False; 377.99; 5.57; 0.00; links
49; 2025-02-20 09:04:00; False; 392.09; 2.96; 0.00; links
49; 2025-02-20 09:04:04; False; 380.49; 6.66; 0.00; links
49; 2025-02-20 09:04:08; False; 181.95; 15.63; 0.00; links
49; 2025-02-20 09:04:14; False; 239.85; 3.43; 0.00; links
49; 2025-02-20 09:04:21; False; 503.33; 4.20; 0.00; links
49; 2025-02-20 09:04:31; False; 349.60; 8.35; 0.00; links
49; 2025-02-20 09:04:34; False; 286.62; 1.17; 0.00; links
49; 2025-02-20 09:04:38; False; 367.28; 9.78; 0.00; links
49; 2025-02-20 09:04:47; True; 294.12; 2.13; 0.00; links
49; 2025-02-20 09:04:52; False; 320.26; 0.79; 0.00; links
49; 2025-02-20 09:04:57; False; 161.54; 14.27; 0.00; rechts
49; 2025-02-20 09:05:03; False; 532.88; 8.27; 0.00; links
49; 2025-02-20 09:05:08; False; 329.99; 5.61; 0.00; links
49; 2025-02-20 09:05:16; False; 350.54; 15.19; 0.00; links
49; 2025-02-20 09:05:20; False; 220.68; 11.27; 0.00; links
49; 2025-02-20 09:05:26; False; 266.89; 4.54; 0.00; links
49; 2025-02-20 09:05:31; False; 358.30; 3.38; 0.00; links
49; 2025-02-20 09:05:35; False; 214.22; 5.94; 0.00; links
49; 2025-02-20 09:05:39; False; 228.01; 9.49; 0.00; links
49; 2025-02-20 09:05:44; False; 208.98; 11.67; 0.00; links
49; 2025-02-20 09:05:49; False; 402.05; 5.28; 0.00; links
49; 2025-02-20 09:05:54; False; 350.19; 10.73; 0.00; links
49; 2025-02-20 09:05:58; False; 291.60; 3.99; 0.00; links
49; 2025-02-20 09:06:02; False; 341.81; 2.00; 0.00; links
49; 2025-02-20 09:06:09; False; 277.02; 3.53; 0.00; links
49; 2025-02-20 09:06:14; False; 448.07; 7.74; 0.00; links
49; 2025-02-20 09:06:19; False; 315.12; 10.67; 0.00; links
49; 2025-02-20 09:06:24; False; 442.01; 3.52; 0.00; links
49; 2025-02-20 09:06:30; False; 386.93; 2.70; 0.00; links
49; 2025-02-20 09:06:36; False; 325.11; 2.60; 0.00; links
