ID; Date; Success; Distance; Fall Velocity; Pass Time
49; 2025-02-20 09:06:48; False; 1.32; 0.00; 1.50
49; 2025-02-20 09:06:55; False; 0.09; 0.00; 1.50
49; 2025-02-20 09:07:17; False; 0.06; 0.00; 1.50
49; 2025-02-20 09:07:49; False; 2.11; 0.00; 1.50
49; 2025-02-20 09:08:00; False; 1.63; 0.00; 1.50
49; 2025-02-20 09:08:15; True; 0.24; 0.00; 1.50
49; 2025-02-20 09:08:32; False; 1.92; 0.00; 1.50
49; 2025-02-20 09:08:40; False; 1.79; 0.00; 1.50
49; 2025-02-20 09:08:51; False; 0.27; 0.00; 1.50
49; - ;Reset Count; 4
