ID; Date; Success; RotationDegree; ThrowDegree; StrenghValue; Direction
42; 2025-02-13 08:39:38; False; 378.69; 17.07; 0.00; links
42; 2025-02-13 08:39:43; False; 0.33; 180.00; 0.00; rechts
42; 2025-02-13 08:39:47; False; 361.58; 5.31; 0.00; links
42; 2025-02-13 08:39:52; False; 373.35; 17.19; 0.00; links
42; 2025-02-13 08:40:18; False; 360.03; 13.12; 0.00; links
42; 2025-02-13 08:40:40; False; 27.40; 0.47; 0.00; rechts
42; 2025-02-13 08:40:41; False; 5.11; 180.00; 0.00; rechts
42; 2025-02-13 08:40:47; False; 371.52; 8.11; 0.00; links
42; 2025-02-13 08:40:49; False; 1.44; 174.57; 0.00; rechts
42; 2025-02-13 08:40:54; False; 365.68; 9.90; 0.00; links
42; 2025-02-13 08:40:55; False; 5.02; 180.00; 0.00; rechts
42; 2025-02-13 08:41:02; False; 346.21; 23.66; 0.00; links
42; 2025-02-13 08:41:04; False; 4.39; 113.27; 0.00; rechts
42; 2025-02-13 08:41:17; False; 368.43; 15.71; 0.00; links
42; 2025-02-13 08:41:24; False; 342.18; 10.21; 0.00; links
42; 2025-02-13 08:41:36; False; 0.08; 93.95; 0.00; links
42; 2025-02-13 08:41:44; False; 366.55; 12.09; 0.00; links
42; 2025-02-13 08:42:08; False; 1.19; 173.77; 0.00; links
42; 2025-02-13 08:42:11; False; 345.23; 13.41; 0.00; links
42; 2025-02-13 08:42:15; False; 517.42; 4.93; 0.00; links
