ID; Date; Success; Distance; Fall Velocity; Pass Time
41; 2025-02-27 08:38:09; False; 0.81; 0.00; 1.50
41; 2025-02-27 08:38:34; False; 2.27; 0.00; 1.50
41; 2025-02-27 08:38:43; False; 2.96; 0.00; 1.50
41; 2025-02-27 08:38:53; False; 1.59; 0.00; 1.50
41; 2025-02-27 08:39:04; False; 0.02; 0.00; 1.50
41; 2025-02-27 08:39:38; False; 0.44; 0.00; 1.50
41; 2025-02-27 08:39:47; False; 4.56; 0.00; 1.50
41; 2025-02-27 08:39:53; True; 0.38; 0.00; 1.50
41; 2025-02-27 08:40:00; True; 0.25; 0.00; 1.50
41; 2025-02-27 08:40:07; False; 0.87; 0.00; 1.50
41; 2025-02-27 08:40:17; False; 0.27; 0.00; 1.50
41; 2025-02-27 08:40:27; False; 0.90; 0.00; 1.50
41; - ;Reset Count; 18
