ID,Group,Week1,Week2,Week3,Week4,Slope,Improvement_%
122,RL,16.8,22.4,26.6,28.4,3.899999999999999,69.04761904761904
123,Kontrollgruppe,28.0,11.2,26.8,14.0,-2.64,-50.0
127,Kontrollgruppe,100.0,100.0,100.0,100.0,0.0,0.0
130,Kontrollgruppe,19.4,35.4,50.2,52.8,11.500000000000002,172.16494845360825
133,Kontrollgruppe,100.0,100.0,100.0,100.0,0.0,0.0
134,Kontrollgruppe,100.0,100.0,100.0,100.0,0.0,0.0
135,Kontrollgruppe,13.4,29.8,18.8,26.0,2.6799999999999984,94.02985074626865
138,Kontrollgruppe,80.8,100.0,100.0,98.0,5.16,21.287128712871294
139,Kontrollgruppe,98.0,100.0,83.6,100.0,-1.0400000000000005,2.0408163265306123
141,Kontrollgruppe,48.6,60.6,59.4,56.2,2.1600000000000006,15.637860082304531
143,Kontrollgruppe,5.8,3.0,5.0,5.0,-0.039999999999999876,-13.79310344827586
144,Kontrollgruppe,73.0,100.0,100.0,100.0,8.1,36.986301369863014
148,Kontrollgruppe,7.6,8.4,9.2,12.8,1.6400000000000001,68.42105263157896
