ID,Group,Week1,Week2,Week3,Week4,Slope,Improvement_%
2,VR,10.142,19.872,31.326,26.796,6.1415999999999995,164.20824295010848
6,VR,0.176,1.736,0.6759999999999999,18.718,5.456599999999999,10535.227272727276
8,VR,2.3120000000000003,18.756,33.946000000000005,0.092,0.8530000000000002,-96.02076124567473
9,VR,5.67,13.040000000000001,11.586,19.068,3.8739999999999997,236.2962962962963
12,VR,0.4466666666666667,307.83599999999996,173.31799999999998,187.404,42.63539999999998,41856.11940298507
13,VR,38.67333333333333,172.03,56.098,1.19,-22.8382,-96.92294431994485
16,VR,67.9,177.95,217.702,57.788,0.9416000000000038,-14.892488954344637
18,VR,44.355000000000004,31.755000000000003,26.060000000000002,3.5799999999999996,-12.802,-91.92875662270319
20,VR,0.58,0.2,0.37666666666666665,1.418,0.2690666666666667,144.48275862068968
21,VR,0.2225,3.3659999999999997,68.22999999999999,41.068,18.740049999999993,18357.52808988764
23,VR,0.20800000000000002,3.7880000000000003,0.0,39.03,11.2678,18664.423076923078
24,VR,12.7125,62.70399999999999,152.972,53.322,21.209650000000003,319.4454277286136
26,VR,65.11,35.805,1.556,62.418000000000006,-4.232499999999998,-4.134541545077551
27,VR,0.0,2.8899999999999997,0.046,3.2060000000000004,0.6774000000000001,inf
28,VR,50.772,0.438,1.256,7.502,-12.899199999999997,-85.22413928937209
31,VR,30.288,0.488,1.1775,1.0999999999999999,-8.687449999999998,-96.36819862651875
33,VR,68.22200000000001,159.458,197.38400000000001,90.128,10.364399999999991,32.109876579402524
36,VR,189.035,3.84,0.45,0.356,-56.94269999999998,-99.81167508662418
37,VR,58.388,0.0,73.436,58.882000000000005,7.491800000000002,0.8460642597794185
41,VR,1.925,0.0,0.0,0.0,-0.5774999999999999,-100.0
44,VR,126.45599999999999,147.246,98.854,1.686,-42.270199999999996,-98.66672992977794
51,VR,302.55,118.4,245.115,246.515,-4.1390000000000065,-18.520905635432168
53,VR,60.538,57.982000000000006,5.546,5.978,-21.6116,-90.12521061151672
55,VR,0.05,1.052,0.74,15.319999999999999,4.5497999999999985,30539.999999999993
57,VR,317.345,9.368,0.094,0.054000000000000006,-96.1147,-99.98298381887221
60,VR,8.794,0.225,1.542,51.794000000000004,13.0317,488.96975210370704
61,RL,150.0,170.0,277.5,210.0,28.749999999999996,40.0
62,RL,345.0,357.5,354.0,354.0,2.349999999999999,2.608695652173913
63,RL,252.0,250.0,247.5,270.0,5.15,7.142857142857142
64,RL,210.0,195.0,172.5,245.0,8.249999999999998,16.666666666666664
65,RL,225.0,280.0,217.5,345.0,29.75,53.333333333333336
66,RL,335.0,340.0,360.0,330.0,0.5000000000000002,-1.4925373134328357
